Temperature,Humidity,Wind,Pressure,Cloud Cover,Precipitation
33.7,39,28.1,1001.2,39,25
31.2,29,24.7,1048.3,79,24
28.2,44,24.3,991.9,37,74
32.3,85,26.5,1042.9,76,22
25.7,44,21.0,1034.4,86,97
26.7,73,3.1,985.4,53,56
31.0,52,12.0,1049.1,21,51
17.0,55,21.7,999.0,15,86
21.9,33,8.4,986.9,27,92
31.3,84,20.6,1038.1,34,30
27.9,99,0.7,1029.5,59,63
25.0,73,9.2,1023.2,44,70
36.9,71,16.5,990.9,45,32
35.8,22,19.0,1013.5,71,84
20.0,60,17.3,1034.6,54,1
41.4,25,20.9,1001.3,85,17
29.9,44,0.2,1001.8,84,46
37.2,32,3.0,980.2,25,32
32.2,27,26.1,992.2,84,97
44.9,40,20.5,1041.3,24,83
37.6,87,3.4,1010.9,64,34
36.2,44,25.3,1048.9,5,50
38.4,98,7.3,1007.7,22,17
19.3,87,14.3,1030.1,63,87
21.1,64,4.4,999.7,86,71
36.4,79,21.3,1005.5,42,29
29.8,31,20.0,993.4,22,43
37.6,51,6.3,1004.3,95,52
18.1,32,25.9,1018.3,29,9
31.1,50,12.0,1049.4,76,86
26.4,97,8.8,1026.5,17,51
28.7,39,4.6,993.9,86,48
33.1,37,8.0,983.1,78,10
30.1,79,0.7,988.8,96,65
31.2,82,17.5,1019.4,20,57
29.6,25,25.3,1033.6,56,89
27.3,51,16.5,1045.8,22,35
38.2,62,6.6,981.1,90,32
15.4,21,1.0,1016.6,44,46
33.0,79,6.4,1013.0,43,12
32.0,42,12.5,1025.9,81,39
36.5,50,22.8,1019.2,87,88
33.0,24,5.6,1028.1,46,67
39.8,53,21.6,1026.1,39,41
43.8,29,26.0,988.2,50,18
25.3,21,13.6,1036.0,41,81
21.8,30,24.6,988.6,6,93
27.7,69,16.6,1028.9,49,18
23.6,50,19.1,1009.1,47,57
33.4,75,15.8,1016.0,83,22
42.4,98,13.9,1043.2,90,53
19.2,92,7.0,1042.3,5,79
18.0,28,9.1,1037.2,90,64
22.7,40,8.7,1015.7,8,11
36.8,92,16.9,1031.5,56,23
32.8,47,3.6,1015.9,30,33
18.1,81,27.5,1040.9,20,52
42.6,26,21.6,1008.2,89,7
38.7,99,12.0,1047.9,39,17
15.7,35,4.8,1045.3,44,56
34.5,23,26.5,1031.9,76,4
38.1,23,24.7,999.6,48,25
26.2,59,21.7,989.2,86,29
17.1,36,8.1,1039.8,19,53
17.3,71,12.1,991.6,91,12
18.1,71,3.1,1039.8,16,82
40.2,55,5.7,1014.4,27,28
42.3,57,23.5,1008.5,40,2
18.7,69,21.5,1043.2,65,89
22.1,82,17.8,1022.3,24,57
20.0,82,26.9,1020.4,57,75
20.6,81,17.5,1019.1,40,1
40.1,26,14.0,1006.0,5,74
25.0,46,10.2,1035.0,74,27
24.3,33,28.2,997.7,37,81
21.8,90,2.5,1045.7,5,76
33.2,24,27.9,1042.6,44,85
26.4,74,24.8,1003.6,74,75
37.3,21,3.9,1031.1,13,1
21.2,81,16.9,1020.1,65,6
38.6,40,26.0,1003.6,39,25
33.1,98,17.2,1049.2,2,89
18.4,40,27.2,981.8,98,87
27.4,29,28.3,997.7,96,75
40.9,77,12.7,1016.4,23,15
42.7,58,11.3,1016.5,18,22
29.0,24,28.1,1021.2,17,39
29.4,84,20.3,1032.6,63,59
42.6,32,3.5,1023.6,87,72
32.6,72,1.3,1022.0,34,31
16.0,64,16.9,983.7,61,14
42.4,51,27.9,1006.4,0,12
22.4,55,25.3,996.2,99,4
32.3,79,20.3,998.6,24,74
20.0,30,4.2,1018.8,44,73
16.0,82,7.6,994.0,48,51
24.3,40,26.3,1000.6,97,76
38.4,71,5.5,996.6,88,40
23.3,74,8.4,1046.4,15,52
21.6,45,3.9,1046.1,97,49
21.4,87,20.3,1022.7,92,14
30.5,53,28.3,1044.7,18,6
44.3,71,8.1,1035.0,22,39
28.8,71,14.3,1021.3,82,27
31.7,48,19.0,980.5,24,31
40.8,57,30.0,1034.1,15,98
31.1,61,3.1,1029.2,53,14
20.5,40,15.0,1023.1,72,99
24.0,61,11.6,1033.2,0,84
24.3,32,26.0,1015.9,41,69
26.9,83,14.3,1029.3,18,64
27.8,36,3.3,1045.5,96,3
39.0,28,19.0,1006.3,33,10
25.5,60,23.1,1029.6,79,25
29.0,20,0.1,1013.3,54,60
33.7,21,25.8,1027.2,17,36
26.3,79,5.6,1033.4,33,22
40.1,67,16.6,983.2,88,92
32.6,48,12.5,1025.3,44,84
23.8,29,21.6,995.9,5,90
36.4,77,11.1,1026.9,20,39
30.8,79,26.1,1012.8,69,76
31.0,40,21.9,1034.1,95,22
29.4,47,19.4,988.6,47,15
29.9,94,23.9,1023.8,38,93
38.0,53,22.6,999.5,30,60
18.1,27,1.1,1039.7,9,67
25.0,78,11.8,1045.0,29,79
17.3,91,27.9,1049.7,17,30
37.6,68,3.8,1035.7,59,52
23.2,98,22.1,1032.8,87,24
41.9,36,29.2,995.1,72,43
30.8,79,1.6,1003.5,94,11
39.0,64,20.5,1012.6,14,89
44.4,88,14.0,1034.1,3,96
40.2,51,17.4,1044.0,62,91
41.0,63,2.6,993.2,39,8
27.2,84,1.3,1044.6,8,11
31.6,27,20.0,1028.7,8,68
22.6,96,24.7,1022.8,25,53
20.9,91,23.5,994.0,3,53
30.2,62,16.3,983.9,80,27
32.9,20,3.0,1019.8,15,55
25.2,70,20.6,1025.6,14,98
32.1,43,7.3,994.8,98,68
41.6,43,27.3,1019.0,51,97
31.7,36,25.1,1040.0,68,97
36.6,24,21.3,1038.5,4,76
39.2,39,28.5,1044.9,19,57
44.7,40,0.9,1005.6,78,77
33.1,77,22.1,1002.3,17,74
39.2,50,9.9,1032.5,1,41
43.9,30,27.2,1010.2,92,37
43.3,71,8.0,986.1,12,67
19.2,34,21.7,999.8,3,52
27.2,26,26.3,1009.3,41,32
24.7,47,1.2,1000.5,73,70
17.6,70,11.9,1003.3,60,55
34.0,77,22.9,1000.6,94,71
37.1,24,13.6,982.9,7,50
40.4,24,8.0,1024.6,66,73
18.7,27,6.6,1021.8,62,42
41.3,83,3.9,1025.7,8,14
34.3,29,25.7,993.5,93,37
36.1,57,17.3,1000.7,10,14
42.3,27,2.3,1023.4,98,4
33.7,44,11.5,1022.0,41,92
25.1,92,11.0,1015.4,12,82
39.8,85,5.5,1004.5,35,53
25.9,98,13.1,1043.9,12,50
16.0,69,10.0,1003.8,11,9
39.9,86,10.3,1011.9,36,11
25.4,68,22.2,1027.5,73,3
38.2,55,6.7,1018.0,72,94
25.9,87,19.3,1004.3,51,17
40.8,97,17.1,1010.5,70,79
21.6,60,17.0,1035.6,1,35
44.2,81,19.9,999.5,55,24
38.4,29,16.5,990.0,59,86
18.4,40,26.4,1001.9,22,75
32.0,55,20.3,1039.5,39,97
44.6,31,16.4,986.2,63,35
29.1,21,24.9,1049.4,84,66
20.5,32,18.2,1017.9,22,8
29.5,72,8.7,1048.9,28,60
30.4,51,6.2,1045.7,77,52
37.3,35,4.6,1011.7,89,17
36.0,51,27.0,993.9,50,42
27.1,51,21.3,991.5,68,34
21.5,30,28.1,996.8,94,62
34.4,29,18.1,1029.7,88,97
27.7,34,14.2,999.1,30,77
19.0,36,1.8,1003.9,49,3
42.0,59,20.1,1011.4,19,92
35.7,37,17.5,1043.9,54,40
35.5,74,29.7,993.3,80,44
39.7,92,7.2,980.4,1,49
30.9,44,15.9,984.2,24,78
39.5,78,19.5,1043.3,12,27
29.9,97,19.3,1025.3,91,41
17.0,41,16.8,999.1,69,79
27.2,49,23.3,992.4,66,75
29.9,63,6.1,1000.6,57,68
36.6,51,21.8,988.0,98,97
18.2,70,18.6,1045.9,81,0
19.2,65,26.9,1034.9,74,38
22.9,40,25.4,1012.4,83,95
23.0,51,9.5,1040.5,63,89
37.0,58,8.3,997.5,68,16
22.5,31,29.4,1030.2,82,90
34.0,66,15.8,1039.9,85,87
29.8,37,27.2,1005.0,58,34
32.2,40,4.9,1033.0,59,45
40.1,32,19.3,1000.7,82,41
27.1,40,24.3,1000.9,61,38
38.1,27,28.4,987.5,15,89
27.7,65,10.1,1010.8,87,48
25.6,26,21.7,1031.1,67,61
43.8,42,16.2,1045.8,14,37
20.5,94,1.8,1022.3,88,22
17.7,41,20.7,1040.4,54,21
38.1,41,20.7,1037.6,34,3
17.0,48,27.9,992.1,54,48
40.1,32,14.9,1014.0,13,58
28.1,21,6.9,988.2,48,72
42.5,48,1.3,1027.8,82,67
36.6,98,12.5,1046.5,99,70
33.3,71,9.1,989.6,6,86
43.5,46,22.8,1031.4,29,1
26.9,69,10.6,1024.3,82,48
43.6,98,28.5,1020.9,48,87
19.1,42,28.9,1007.3,88,94
29.5,63,18.6,1004.9,15,30
23.1,96,27.9,983.2,50,39
31.2,41,22.8,995.3,71,47
19.9,62,16.4,981.1,81,50
40.2,56,5.4,1020.7,91,42
40.4,80,13.8,987.4,79,97
43.7,75,16.8,1041.1,82,54
19.6,22,25.9,1016.6,41,87
33.7,82,14.4,1029.0,16,48
29.2,38,26.9,1008.8,62,89
25.3,42,20.2,1019.2,44,79
25.5,48,4.1,1046.0,76,56
27.4,49,29.8,985.8,6,76
36.1,58,15.8,997.8,26,14
32.9,44,11.8,1034.6,9,26
28.8,27,19.8,986.9,33,67
17.3,77,3.3,985.3,35,79
17.3,35,19.1,1005.3,24,63
15.1,91,14.9,986.5,5,93
44.0,20,12.2,1021.0,23,29
15.2,24,28.6,995.8,17,35
18.1,22,15.7,1042.7,86,66
24.4,84,6.6,1034.8,5,85
39.2,23,13.8,1029.0,28,85
43.9,83,27.6,1023.2,24,48
38.7,29,5.3,1040.4,54,75
35.7,40,6.4,995.6,80,54
30.6,65,0.4,1041.1,45,84
17.6,46,0.4,1035.3,23,55
43.7,85,24.9,1032.4,74,67
37.8,60,22.0,1019.3,25,94
34.2,32,10.7,997.2,97,43
37.8,28,20.9,1009.6,27,30
36.7,55,11.9,1035.5,2,57
34.1,77,28.6,982.2,74,86
44.4,73,29.0,1034.7,37,52
42.1,31,11.8,996.8,60,83
34.4,97,25.6,990.1,77,78
35.8,33,23.2,988.1,50,22
16.5,53,9.3,981.9,89,27
35.1,72,7.0,1016.7,47,15
16.3,39,13.7,995.3,20,36
32.6,94,23.4,1049.3,53,20
45.0,35,28.8,1020.2,55,78
31.7,89,22.9,989.7,93,16
29.2,75,25.7,1028.2,58,36
24.4,77,18.1,1042.8,71,76
18.6,23,25.1,1032.2,50,18
36.9,23,23.5,985.4,19,29
20.8,39,11.3,1042.7,95,44
18.5,29,16.6,1035.6,85,17
27.7,43,24.1,991.1,58,77
38.9,45,1.4,983.6,70,61
37.4,56,24.2,1019.0,8,35
16.6,73,5.3,990.9,0,99
28.7,40,15.4,1038.4,28,83
30.7,93,24.2,1005.1,62,51
34.3,57,7.6,1043.9,71,18
34.5,65,7.4,1019.6,55,43
25.9,23,12.1,992.8,67,6
31.8,79,26.8,989.8,34,43
29.4,76,0.0,1020.4,2,67
41.5,64,27.0,1033.3,6,33
30.9,39,4.6,1034.7,26,65
28.2,36,29.7,999.3,0,68
27.1,90,28.6,994.3,90,54
32.2,23,14.8,981.2,79,9
39.1,33,15.4,1027.5,70,95
31.2,22,14.4,985.4,43,41
34.8,99,19.1,1009.5,86,40
37.1,77,2.7,1022.1,40,76
30.6,74,1.0,1045.6,74,68
27.8,23,1.7,1001.8,41,9
41.3,43,13.3,997.5,32,9
27.5,53,8.3,1025.8,49,90
28.9,49,18.7,1023.3,62,59
44.7,38,29.8,1003.2,99,50
15.0,50,11.6,1045.0,36,20
20.6,79,17.2,1039.1,58,7
26.5,79,12.5,995.7,80,64
43.0,38,25.4,996.7,98,91
17.1,68,27.1,1015.9,47,77
15.3,82,26.3,1034.2,4,84
16.6,41,29.2,983.1,47,29
17.7,43,0.8,1028.5,95,84
16.1,95,25.2,1025.4,2,48
29.4,49,22.6,996.2,46,8
32.4,77,6.9,1027.7,61,16
23.2,50,28.7,1045.8,98,68
26.9,83,4.4,983.3,13,57
17.8,38,20.4,1002.4,62,56
25.1,67,6.7,1010.7,60,61
30.7,64,12.9,1042.9,30,94
37.0,74,21.6,1047.4,94,51
15.1,74,16.9,1011.1,16,60
29.0,37,12.8,1032.5,23,39
23.9,82,9.8,1017.2,22,37
40.6,66,25.2,1017.6,81,42
36.5,94,4.3,999.5,49,62
32.7,76,12.9,995.2,77,18
23.3,64,27.1,1000.2,78,99
42.3,52,25.4,1018.9,78,49
16.4,36,12.0,982.0,69,32
18.3,89,22.9,1043.5,26,12
26.7,23,24.7,990.9,14,77
18.7,39,26.7,995.4,49,96
43.7,66,16.3,1016.3,35,61
38.9,34,6.1,1029.7,7,92
22.8,89,7.7,986.7,78,42
32.7,66,8.9,1002.2,2,48
44.5,97,17.8,1047.8,61,35
41.5,94,1.0,998.4,46,9
33.0,28,19.1,1001.9,76,94
42.1,35,10.9,1038.6,97,5
44.7,88,8.9,983.5,87,56
37.3,80,26.4,1012.5,95,0
16.9,29,13.8,1006.6,60,70
27.0,69,2.9,1002.2,31,57
40.1,22,24.8,1000.0,93,90
21.9,96,1.4,986.4,12,20
39.9,89,21.8,1002.0,0,91
18.6,70,23.2,983.0,33,79
16.4,38,10.6,1034.7,61,55
26.5,61,24.7,1007.9,78,86
16.1,54,15.5,1011.1,77,19
43.7,65,13.9,1042.6,92,53
39.8,45,1.4,1026.1,97,24
39.0,88,8.7,980.6,81,27
33.9,83,27.9,1046.0,70,4
21.5,56,11.8,996.6,92,20
30.5,68,16.4,987.5,30,17
32.9,40,16.0,1033.8,63,46
30.8,93,17.7,1015.0,24,69
22.8,83,1.8,1010.4,37,56
30.5,24,10.9,997.5,13,92
29.7,89,21.7,1018.3,7,18
44.9,23,6.0,999.2,90,96
41.9,58,6.1,1043.1,53,64
28.9,54,0.3,995.1,1,2
33.7,20,13.1,1041.9,80,41
37.4,43,26.5,1019.2,77,20
16.0,76,1.6,1038.0,88,98
41.8,89,5.7,1029.9,55,39
40.8,60,9.3,1028.8,93,66
28.7,73,22.0,1002.7,92,24
26.7,65,19.2,996.4,83,54
23.2,79,12.5,994.8,84,83
29.3,79,22.8,1040.0,60,51
16.3,76,18.3,1037.4,21,43
40.6,50,26.9,1010.8,34,97
16.1,43,24.5,989.3,15,84
24.9,55,7.6,1006.8,49,55
42.9,49,8.1,1023.4,42,54
37.1,43,3.8,1011.8,16,86
23.4,49,10.1,1034.6,79,69
22.6,26,30.0,1049.8,57,76
15.2,54,12.2,993.4,1,86
35.9,74,6.6,1012.2,3,72
16.5,33,22.9,1010.2,84,80
31.0,29,16.3,1001.3,38,65
43.9,99,4.5,993.9,97,18
18.3,35,11.4,984.6,93,82
41.8,73,12.4,1042.1,5,6
44.7,96,22.6,1009.4,80,62
16.8,89,0.6,1014.8,88,41
41.5,63,8.1,1044.2,68,41
30.5,92,15.5,1034.3,68,58
42.2,64,8.1,989.1,19,19
32.1,75,18.9,1019.6,63,72
34.9,76,14.5,1011.0,15,16
31.3,40,10.9,1035.8,50,26
40.9,87,28.5,1030.7,36,46
37.0,69,19.0,1028.3,72,1
30.6,52,3.9,1003.8,68,62
41.0,26,16.8,1036.3,41,61
22.4,89,23.4,983.7,56,99
19.7,34,21.3,991.2,65,18
19.8,51,5.2,1003.5,8,16
25.0,94,29.2,985.4,99,68
22.2,39,13.5,996.4,85,38
42.9,34,4.8,1038.1,63,81
18.2,67,5.4,1046.4,85,70
36.0,90,2.9,1001.3,21,80
20.7,40,24.1,998.5,33,38
41.4,61,3.7,999.6,54,35
43.8,45,3.8,999.4,28,39
29.0,33,25.5,982.5,37,44
41.4,76,10.3,1044.9,96,3
15.2,56,0.9,995.0,17,24
39.6,77,1.6,1009.4,70,68
21.9,40,4.3,980.7,64,29
42.3,88,6.4,1040.1,96,75
15.0,22,20.0,1031.2,0,67
31.7,56,4.7,1046.3,87,87
37.7,68,3.6,1034.7,3,28
22.8,38,22.9,1002.0,3,72
20.8,31,20.1,997.4,81,67
17.5,80,13.1,1028.8,26,50
24.8,60,16.5,1005.5,42,23
31.8,52,9.4,1019.6,58,13
18.5,69,14.5,980.4,31,68
26.3,87,15.2,984.3,32,17
15.3,90,11.6,1017.5,27,41
39.6,52,27.2,1019.6,54,56
18.9,43,0.5,1032.6,99,82
23.5,80,23.5,989.2,59,11
15.6,80,3.7,1015.9,69,81
28.0,47,23.9,993.6,61,16
40.2,77,18.5,986.5,79,29
26.8,62,25.3,1008.7,33,87
20.4,60,2.9,991.4,86,74
37.6,58,16.8,995.5,87,98
38.7,68,15.0,1002.2,55,22
20.2,36,21.2,998.2,12,80
38.1,89,16.0,986.1,55,0
43.4,89,16.2,986.3,17,78
20.0,84,12.9,993.5,53,31
38.1,93,9.3,983.5,76,8
36.3,24,14.5,1023.9,42,14
29.2,21,3.6,1000.1,38,27
16.7,41,28.8,999.6,60,23
17.2,76,21.4,1003.2,41,59
40.6,85,28.6,1026.4,80,34
44.7,93,6.8,1040.9,78,85
35.3,35,26.4,1033.1,17,26
28.4,70,24.3,1030.9,22,82
34.4,58,20.3,1013.9,53,75
32.8,95,18.8,1028.6,29,19
26.5,59,9.5,1018.7,97,64
17.0,57,24.5,995.1,57,84
39.6,79,15.0,994.6,67,48
26.2,78,2.1,1000.7,66,0
39.6,29,9.4,1043.8,70,9
22.6,83,28.1,1018.3,17,46
15.0,82,25.5,1031.4,6,58
19.8,68,29.5,1004.3,39,95
29.1,83,18.8,1008.5,69,61
43.3,51,7.4,988.8,85,85
18.1,26,4.9,992.0,64,17
40.6,40,5.6,1037.9,67,45
30.8,39,0.6,1020.9,48,31
39.8,45,11.7,1003.6,51,26
24.0,87,5.7,1036.2,28,91
40.2,34,12.3,997.3,20,17
38.2,98,28.0,1048.3,89,38
21.9,33,12.9,1004.1,77,48
18.9,46,26.3,1003.6,8,92
41.0,59,18.2,1001.8,46,81
43.9,77,7.4,988.5,75,43
15.9,47,10.7,987.8,41,71
36.9,45,2.5,1025.4,50,53
42.3,82,10.0,1041.3,55,94
40.7,85,20.3,1035.3,50,33
43.9,44,2.2,989.9,69,70
37.8,22,6.2,1018.2,19,35
28.3,91,11.4,987.4,87,17
24.4,63,29.5,983.2,26,37
24.6,61,23.5,1025.9,37,58
36.7,25,22.0,1017.5,71,8
37.4,58,3.5,985.7,64,72
21.0,71,23.4,982.4,53,71
41.0,42,23.6,1049.3,23,50
36.4,69,18.0,982.1,46,34
31.9,62,29.7,1011.1,70,81
29.1,38,9.8,1015.3,82,4
31.3,88,28.2,988.2,85,13
19.8,70,27.4,991.8,62,91
21.1,30,0.3,1004.6,56,29
17.7,31,13.5,1033.3,54,3
19.6,93,29.3,1015.5,59,38
28.6,27,3.1,1024.7,98,83
30.9,43,16.4,1049.0,61,63
15.5,60,29.4,1033.8,29,24
38.9,55,16.7,1010.4,92,27
23.8,91,5.7,1011.3,21,75
42.4,74,17.5,1023.3,74,65
44.0,28,6.1,1026.6,83,77
20.6,66,15.6,1015.0,28,21
28.9,34,2.2,1025.1,40,30
15.0,67,18.2,981.6,41,22
32.9,61,15.5,1010.1,97,47
33.2,79,22.2,999.5,64,19
22.4,89,18.9,989.0,30,37
31.8,31,16.5,987.0,29,54
